Название,Артикул,Категория,Цена без карты,Цена с картой
Черепица ONDULINE Коричневый,14036501,Строительные материалы,626.66 ₽,563.99 ₽
Черепица ONDULINE Красная,13693101,Строительные материалы,626.66 ₽,563.99 ₽
Конёк торцевой ОНДУВИЛЛА Зелёный,19192301,Строительные материалы,385.00 ₽,365.75 ₽
Конёк ондулин зелёный,14036201,Строительные материалы,371.28 ₽,352.72 ₽
Щипец ОНДУВИЛЛА Зелёный,19196801,Строительные материалы,385.00 ₽,365.75 ₽
Мастика DOCKE Для гибкой черепицы 10л,10361901,Строительные материалы,2 670.37 ₽,2 536.85 ₽
Мастика DOCKE Для гибкой черепицы 5л,10362001,Строительные материалы,1 367.20 ₽,1 298.84 ₽
Лента NICOBAND Duo 100х10см 360328,18899601,Строительные материалы,804.78 ₽,764.54 ₽
"Мастика DOCKE Для гибкой черепицы 0,29л",10380701,Строительные материалы,196.85 ₽,187.01 ₽
Мастика ТЕХНОНИКОЛЬ Shinglas Фиксер №23 310мл,12880401,Строительные материалы,253.98 ₽,241.28 ₽
Кровельное ограждение BORGE Зелёный мох 90см,17426401,Строительные материалы,4 599.00 ₽,4 369.05 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры зелёный мох,17426701,Строительные материалы,3 349.00 ₽,3 181.55 ₽
Кровельное ограждение BORGE Серо-коричневый 90см,17426301,Строительные материалы,4 599.00 ₽,4 369.05 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры коричневый шоколад,17426801,Строительные материалы,3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры окрашенный RAL 8004,17427401,Строительные материалы,3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры окрашенный RR32,17427101,Строительные материалы,3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры окрашенный RAL 7024,17427301,Строительные материалы,3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры красное вино,17426901,Строительные материалы,3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры коричневый шоколад,17423801,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры зелёный мох,17423501,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры терракотовый,17423701,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры серый графит,17423601,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры серо-коричневый,17423301,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры коричнево-красный,17423201,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры сигнально-синий,17423401,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры красное вино,17423101,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры тёмно-зеленый,17422901,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры кирпично-красный,17423001,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE New Line Трубчатый 4 опоры зелёный мох,17476601,Строительные материалы,1 049.00 ₽,996.55 ₽
Снегозадержатель BORGE New Line Трубчатый 4 опоры красное вино,17476701,Строительные материалы,1 049.00 ₽,996.55 ₽
