Название,Артикул,Категория,Цена без карты,Цена с картой
Дюбель для бетона ЕВРОПАРТНЕР PDG LK 5х30 30шт,21886401,Инструменты и крепёж,151.81 ₽,144.22 ₽
Дюбель-хомут СТРОЙБАТ 11-18мм 100шт,12152001,Инструменты и крепёж,152.00 ₽,144.40 ₽
Дюбель для пустотелых материалов с полукольцом СТРОЙБАТ 5х13 4шт,173580,Инструменты и крепёж,145.00 ₽,137.75 ₽
Дюбель для полнотелых материалов ЕВРОПАРТНЕР Snake SB 6х40 30шт,16322501,Инструменты и крепёж,141.90 ₽,134.80 ₽
Дюбель фасадный БЗС ДС-2 50.60.100 10шт,19916201,Инструменты и крепёж,140.84 ₽,133.80 ₽
Дюбель фасадный БЗС ДС-5-50.60.150 10шт,19916901,Инструменты и крепёж,140.71 ₽,133.67 ₽
"Гибкая связь СПА 5,5х300 10шт",19916101,Инструменты и крепёж,139.00 ₽,132.05 ₽
Дюбель для пустотелых материалов с крюком СТРОЙБАТ 5х13 4шт,173576,Инструменты и крепёж,137.00 ₽,130.15 ₽
Дюбель для бетона СТРОЙБАТ 6х40 18шт,8209501,Инструменты и крепёж,118.00 ₽,112.10 ₽
Дюбель для пустотелых материалов с крюком СТРОЙБАТ 4х12 6шт,173574,Инструменты и крепёж,135.00 ₽,128.25 ₽
Дюбель складной пружинный СТРОЙБАТ М8х100 1шт,19959301,Инструменты и крепёж,125.00 ₽,118.75 ₽
Дюбель-хомут СТРОЙБАТ 5-10мм 100шт,12151601,Инструменты и крепёж,130.00 ₽,117.00 ₽
Дюбель для бетона СТРОЙБАТ 6х40 18шт,8209401,Инструменты и крепёж,118.00 ₽,112.10 ₽
Дюбель для пустотелых материалов СТРОЙБАТ Молли 6х26 3шт,173568,Инструменты и крепёж,123.00 ₽,116.85 ₽
Дюбель для гипсокартона СТРОЙБАТ TNF 8х28 50шт,15699101,Инструменты и крепёж,118.00 ₽,112.10 ₽
Дюбель для пустотелых материалов с полукольцом СТРОЙБАТ 4х12  6шт,173578,Инструменты и крепёж,116.00 ₽,110.20 ₽
Дюбель универсальный ЕВРОПАРТНЕР Multi Plug нейлон 6х25 30шт,16321201,Инструменты и крепёж,114.40 ₽,108.68 ₽
Дюбель для пустотелых материалов СТРОЙБАТ Молли 6х16 3шт,173567,Инструменты и крепёж,113.00 ₽,107.35 ₽
Дюбель для пустотелых материалов с кольцом СТРОЙБАТ 5х13 3шт,173572,Инструменты и крепёж,114.00 ₽,108.30 ₽
Дюбель для пустотелых материалов СТРОЙБАТ Молли R 4х12 5шт,173570,Инструменты и крепёж,110.00 ₽,104.50 ₽
Дюбель рамный СТРОЙБАТ 10х202 2шт,19925501,Инструменты и крепёж,108.00 ₽,102.60 ₽
Дюбель для пустотелых материалов СТРОЙБАТ 5х26 3шт,173565,Инструменты и крепёж,104.00 ₽,98.80 ₽
Дюбель универсальный ЕВРОПАРТНЕР Multi Plug нейлон 8х32 15шт,16321301,Инструменты и крепёж,104.00 ₽,98.80 ₽
Дюбель универсальный ЕВРОПАРТНЕР Multi Plug нейлон 10х40 8шт,16321001,Инструменты и крепёж,104.00 ₽,98.80 ₽
Дюбель универсальный ЕВРОПАРТНЕР PDU N 5х25 30шт,21886301,Инструменты и крепёж,100.09 ₽,95.09 ₽
Дюбель потайной СТРОЙБАТ 8х80 10шт,19927701,Инструменты и крепёж,93.00 ₽,88.35 ₽
Дюбель для пустотелых материалов СТРОЙБАТ 4х12 6шт,173562,Инструменты и крепёж,92.00 ₽,87.40 ₽
Дюбель универсальный СТАРК Слон 10х50 50шт,13705301,Инструменты и крепёж,90.94 ₽,86.39 ₽
Дюбель для полнотелых материалов ЕВРОПАРТНЕР Snake SG 6x40 30шт,16322601,Инструменты и крепёж,89.10 ₽,84.64 ₽
Дюбель потайной СТРОЙБАТ 8х60 12шт,19927601,Инструменты и крепёж,87.00 ₽,82.65 ₽
Дюбель универсальный СТАРК Бобер 6х40 100шт,13705801,Инструменты и крепёж,88.86 ₽,79.97 ₽
Дюбель потайной СТРОЙБАТ 8х100 8шт,19927801,Инструменты и крепёж,89.00 ₽,84.55 ₽
Дюбель складной пружинный СТРОЙБАТ М6х100 1шт,19959201,Инструменты и крепёж,86.00 ₽,81.70 ₽
Дюбель универсальный СТРОЙБАТ 8х52 50шт,18201601,Инструменты и крепёж,85.00 ₽,76.50 ₽
Дюбель для бетона СТРОЙБАТ 6х60 16шт,19928001,Инструменты и крепёж,83.00 ₽,78.85 ₽
Дюбель рамный СТРОЙБАТ 10х182 2шт,19925401,Инструменты и крепёж,83.00 ₽,78.85 ₽
Дюбель потайной СТРОЙБАТ 6х80 14шт,19927501,Инструменты и крепёж,83.00 ₽,78.85 ₽
Дюбель грибовидный СТРОЙБАТ 6х80 14шт,19927401,Инструменты и крепёж,82.00 ₽,77.90 ₽
Дюбель потайной СТАРК 8х80 10шт,13659901,Инструменты и крепёж,78.08 ₽,74.18 ₽
Дюбель универсальный СТАРК Слон 10х80 25шт,13705401,Инструменты и крепёж,78.18 ₽,74.27 ₽
"Дюбель для монтажного пистолета TECH-KREP 4,5х30 100г",21476401,Инструменты и крепёж,75.00 ₽,71.25 ₽
Дюбель для гипсокартона Driva Metal 15х38 4шт,15232701,Инструменты и крепёж,75.00 ₽,71.25 ₽
"Дюбель для монтажного пистолета TECH-KREP 4,5х60 100г",21476601,Инструменты и крепёж,75.00 ₽,71.25 ₽
Дюбель для мебели ELEMENT 6х10 10шт,10856101,Инструменты и крепёж,75.00 ₽,71.25 ₽
Дюбель универсальный СТАРК Медведь 8х60 50шт,13706101,Инструменты и крепёж,82.34 ₽,78.22 ₽
"Дюбель для монтажного пистолета TECH-KREP 4,5х40 100г",21476501,Инструменты и крепёж,75.00 ₽,71.25 ₽
Дюбель для газобетона ЕВРОПАРТНЕР PBT нейлон 10х70 2шт,16321601,Инструменты и крепёж,74.80 ₽,71.06 ₽
Дюбель для газобетона СТРОЙБАТ 6х32 14шт,19924501,Инструменты и крепёж,71.00 ₽,67.45 ₽
Дюбель универсальный СТАРК Бобер 6х30 100шт,13705701,Инструменты и крепёж,74.23 ₽,66.81 ₽
Дюбель грибовидный СТРОЙБАТ 6х60 16шт,19927201,Инструменты и крепёж,71.00 ₽,67.45 ₽
Дюбель для бетона СТРОЙБАТ 6х40 18шт,19927901,Инструменты и крепёж,69.00 ₽,65.55 ₽
Дюбель универсальный Чапай 6х40 100шт,12630701,Инструменты и крепёж,67.00 ₽,60.30 ₽
Дюбель рамный СТРОЙБАТ 10х152 2шт,19925301,Инструменты и крепёж,66.00 ₽,62.70 ₽
Дюбель потайной СТРОЙБАТ 6х60 16шт,19927301,Инструменты и крепёж,69.00 ₽,65.55 ₽
Дюбель распорный СТРОЙБАТ 8х50 50шт,18201301,Инструменты и крепёж,66.00 ₽,62.70 ₽
Дюбель универсальный СТРОЙБАТ 10х61 30шт,21900201,Инструменты и крепёж,65.00 ₽,61.75 ₽
Дюбель универсальный 6х37 100шт,13703901,Инструменты и крепёж,65.00 ₽,58.50 ₽
Дюбель для газобетона ELEMENT 10х60 6шт,10855901,Инструменты и крепёж,64.00 ₽,60.80 ₽
Дюбель универсальный СТАРК Муравей 5х30 100шт,13705601,Инструменты и крепёж,63.05 ₽,59.90 ₽
Дюбель для газобетона ЕВРОПАРТНЕР PBT нейлон 8х60 2шт,16322201,Инструменты и крепёж,62.71 ₽,59.57 ₽
Дюбель для газобетона ELEMENT 14х80 3шт,10856001,Инструменты и крепёж,62.00 ₽,58.90 ₽
Дюбель для газобетона ELEMENT 8х55 7шт,10855801,Инструменты и крепёж,62.00 ₽,58.90 ₽
Дюбель рамный СТРОЙБАТ 10х132 2шт,19925201,Инструменты и крепёж,60.00 ₽,57.00 ₽
Дюбель рамный 8х152 2шт,15233701,Инструменты и крепёж,59.00 ₽,56.05 ₽
Дюбель для газобетона СТРОЙБАТ 5х30 14шт,19924401,Инструменты и крепёж,59.00 ₽,56.05 ₽
Дюбель-хомут 8х5 20шт,15234401,Инструменты и крепёж,57.00 ₽,54.15 ₽
Дюбель универсальный СТАРК Муравей 5х25 100шт,13705501,Инструменты и крепёж,56.62 ₽,53.79 ₽
Дюбель складной пружинный СТРОЙБАТ М5х95 1шт,19959101,Инструменты и крепёж,55.00 ₽,52.25 ₽
Дюбель для газобетона ELEMENT 6х52 12шт,10855701,Инструменты и крепёж,55.00 ₽,52.25 ₽
Дюбель потайной СТАРК 8х60 8шт,13659701,Инструменты и крепёж,54.49 ₽,51.77 ₽
Дюбель универсальный СТАРК Бобер 6х60 50шт,13705901,Инструменты и крепёж,58.81 ₽,55.87 ₽
Дюбель для гипсокартона СТРОЙБАТ 8х28 30шт,19248501,Инструменты и крепёж,54.00 ₽,51.30 ₽
Дюбель-хомут 10х5 16шт,15234101,Инструменты и крепёж,50.00 ₽,47.50 ₽
Дюбель рамный 8х132 2шт,15233401,Инструменты и крепёж,53.00 ₽,50.35 ₽
Дюбель рамный СТРОЙБАТ 10х112 2шт,19925101,Инструменты и крепёж,53.00 ₽,50.35 ₽
Дюбель для полнотелых материалов СТРОЙБАТ Тип S 6х30 15шт,15699401,Инструменты и крепёж,50.00 ₽,45.00 ₽
Дюбель потайной СТРОЙБАТ 6х40 18шт,19927101,Инструменты и крепёж,49.00 ₽,44.10 ₽
Дюбель для газобетона ЕВРОПАРТНЕР PBT 6х50 нейлон 2шт,16322001,Инструменты и крепёж,49.49 ₽,47.02 ₽
Дюбель грибовидный СТРОЙБАТ 6х40 18шт,19927001,Инструменты и крепёж,49.00 ₽,44.10 ₽
Дюбель для полнотелых материалов СТРОЙБАТ Тип S 5х25 20шт,15699301,Инструменты и крепёж,49.00 ₽,46.55 ₽
Дюбель грибовидный СТАРК Черчиль 6х40 15шт,13659201,Инструменты и крепёж,49.00 ₽,44.10 ₽
Дюбель рамный 8х112 2шт,15233201,Инструменты и крепёж,49.00 ₽,46.55 ₽
Дюбель-хомут 14х6 12шт,15234301,Инструменты и крепёж,48.00 ₽,45.60 ₽
Дюбель рамный СТРОЙБАТ 10х92 2шт,19925001,Инструменты и крепёж,48.00 ₽,45.60 ₽
Дюбель для газобетона ЕВРОПАРТНЕР PBT нейлон 4х50 2шт,16321901,Инструменты и крепёж,47.29 ₽,44.93 ₽
Дюбель универсальный СТРОЙБАТ 6х52 8шт,15700501,Инструменты и крепёж,47.00 ₽,42.30 ₽
Дюбель рамный 8х92 2шт,15233001,Инструменты и крепёж,47.00 ₽,44.65 ₽
Дюбель для хомута СТРОЙБАТ 8х45 12шт,173372,Инструменты и крепёж,45.00 ₽,42.75 ₽
Дюбель универсальный СТРОЙБАТ 8х52 16шт,19926701,Инструменты и крепёж,46.00 ₽,43.70 ₽
Дюбель-хомут 12х6 12шт,15234201,Инструменты и крепёж,45.00 ₽,42.75 ₽
Дюбель для полнотелых материалов СТРОЙБАТ Тип Т 10х50 4шт,15699801,Инструменты и крепёж,45.00 ₽,42.75 ₽
Дюбель для полнотелых материалов СТРОЙБАТ Тип Т 6х30 12шт,15699901,Инструменты и крепёж,45.00 ₽,40.50 ₽
Дюбель для полнотелых материалов СТРОЙБАТ Тип S 8х40 8шт,15699501,Инструменты и крепёж,45.00 ₽,42.75 ₽
Дюбель универсальный СТРОЙБАТ 10х61 3шт,15700701,Инструменты и крепёж,45.00 ₽,40.50 ₽
Дюбель складной пружинный СТРОЙБАТ М4х75 1шт,19959001,Инструменты и крепёж,44.00 ₽,41.80 ₽
Дюбель рамный 8х72 2шт,15232801,Инструменты и крепёж,44.00 ₽,41.80 ₽
Дюбель универсальный СТРОЙБАТ 6х37 10шт,15700401,Инструменты и крепёж,43.00 ₽,40.85 ₽
Дюбель универсальный СТРОЙБАТ 5х32 12шт,15700301,Инструменты и крепёж,43.00 ₽,40.85 ₽
Дюбель универсальный СТРОЙБАТ 8х52 5шт,15700201,Инструменты и крепёж,43.00 ₽,40.85 ₽
Дюбель универсальный СТРОЙБАТ 6х37 10шт,15700101,Инструменты и крепёж,43.00 ₽,40.85 ₽
Дюбель для полнотелых материалов СТРОЙБАТ Тип Т 8х40 6шт,15700001,Инструменты и крепёж,43.00 ₽,40.85 ₽
Дюбель для полнотелых материалов СТРОЙБАТ Тип Т 8х50 5шт,15699701,Инструменты и крепёж,43.00 ₽,40.85 ₽
Дюбель универсальный СТРОЙБАТ 10х61 10шт,19926801,Инструменты и крепёж,39.00 ₽,37.05 ₽
Дюбель универсальный СТРОЙБАТ 8х52 5шт,15700601,Инструменты и крепёж,43.00 ₽,40.85 ₽
Дюбель универсальный СТРОЙБАТ 6х52 20шт,19926601,Инструменты и крепёж,39.00 ₽,35.10 ₽
Дюбель складной пружинный СТРОЙБАТ М3х85 1шт,20133801,Инструменты и крепёж,42.00 ₽,39.90 ₽
Дюбель универсальный СТРОЙБАТ 6х37 25шт,19926501,Инструменты и крепёж,39.00 ₽,37.05 ₽
Дюбель для полнотелых материалов СТРОЙБАТ 12х60 8шт,19926401,Инструменты и крепёж,39.00 ₽,37.05 ₽
Дюбель универсальный СТРОЙБАТ 6х37 25шт,19249301,Инструменты и крепёж,39.00 ₽,37.05 ₽
Дюбель для полнотелых материалов СТРОЙБАТ Тип S 10х50 4шт,15699601,Инструменты и крепёж,39.00 ₽,37.05 ₽
Дюбель-хомут СТРОЙБАТ 19-25мм 12шт,12152201,Инструменты и крепёж,37.00 ₽,35.15 ₽
Дюбель универсальный СТРОЙБАТ 12х71 6шт,19926901,Инструменты и крепёж,34.00 ₽,32.30 ₽
Дюбель универсальный СТРОЙБАТ 8х52 16шт,19249501,Инструменты и крепёж,37.00 ₽,35.15 ₽
Дюбель рамный СТРОЙБАТ НЕХ 10х160 1шт,12849601,Инструменты и крепёж,34.00 ₽,32.30 ₽
Дюбель для полнотелых материалов СТРОЙБАТ 6х30 30шт,19925901,Инструменты и крепёж,34.00 ₽,32.30 ₽
Дюбель для полнотелых материалов СТРОЙБАТ 8х40 20шт,19926101,Инструменты и крепёж,34.00 ₽,32.30 ₽
Дюбель для хомута СТРОЙБАТ 6х35 12шт,173371,Инструменты и крепёж,32.00 ₽,30.40 ₽
Дюбель рамный СТРОЙБАТ 10х182 1шт,12849101,Инструменты и крепёж,32.00 ₽,30.40 ₽
Дюбель для полнотелых материалов СТРОЙБАТ 8х50 16шт,19926201,Инструменты и крепёж,32.00 ₽,30.40 ₽
Дюбель рамный СТРОЙБАТ НЕХ 10х135 1шт,12849501,Инструменты и крепёж,29.00 ₽,27.55 ₽
Дюбель для полнотелых материалов СТРОЙБАТ 10х50 10шт,19926301,Инструменты и крепёж,29.00 ₽,27.55 ₽
Дюбель для полнотелых материалов СТРОЙБАТ 6х35 25шт,19926001,Инструменты и крепёж,29.00 ₽,27.55 ₽
Дюбель универсальный СТАРК Слон 10х80 5шт,13658401,Инструменты и крепёж,28.83 ₽,27.39 ₽
Дюбель рамный СТРОЙБАТ 10х202 1шт,12849201,Инструменты и крепёж,27.00 ₽,25.65 ₽
Дюбель для полнотелых материалов СТРОЙБАТ 14х70 6шт,21652701,Инструменты и крепёж,27.00 ₽,25.65 ₽
Дюбель для полнотелых материалов СТРОЙБАТ 8х30 22шт,21652601,Инструменты и крепёж,27.00 ₽,25.65 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 3,2х8 100шт",12267701,Инструменты и крепёж,105.00 ₽,99.75 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х8 100шт",12268601,Инструменты и крепёж,194.00 ₽,184.30 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х18 100шт",12269101,Инструменты и крепёж,235.00 ₽,223.25 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х12 100шт",12268801,Инструменты и крепёж,225.00 ₽,213.75 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х25 75шт",12269201,Инструменты и крепёж,212.00 ₽,201.40 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х14 100шт",12268901,Инструменты и крепёж,219.00 ₽,208.05 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х16 100шт",12269001,Инструменты и крепёж,225.00 ₽,213.75 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St RAL 9003 белый сигнальный 3,2х8 100шт",14711601,Инструменты и крепёж,189.00 ₽,179.55 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х10 100шт",12268701,Инструменты и крепёж,199.00 ₽,189.05 ₽
Заклепка резьбовая СТРОЙБАТ М10 5шт,22419201,Инструменты и крепёж,189.00 ₽,179.55 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St RAL 8017 тёмно-коричневый 3,2х8 100шт",13858601,Инструменты и крепёж,179.00 ₽,170.05 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St RAL 5005 насыщенный синий 3,2х8 100шт",14711501,Инструменты и крепёж,175.00 ₽,166.25 ₽
"Заклепка вытяжная КОБАЛЬТ Al/St RAL 3005 красное вино 4,8х12 50шт",18888801,Инструменты и крепёж,170.09 ₽,161.59 ₽
"Заклепка вытяжная КОБАЛЬТ Al/St RAL 8017 темно-коричневый 4,8х12 50шт",18888701,Инструменты и крепёж,170.09 ₽,161.59 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St RAL 3003 темно-красный 3,2х8 100шт",13858701,Инструменты и крепёж,179.00 ₽,170.05 ₽
"Заклепка вытяжная КОБАЛЬТ Al/St RAL 9003 белый сигнальный 4,8х12 50шт",18888501,Инструменты и крепёж,170.09 ₽,161.59 ₽
"Заклепка вытяжная КОБАЛЬТ Al/St RAL 5005 насыщенно-синий 4,8х12 50шт",18888901,Инструменты и крепёж,170.09 ₽,161.59 ₽
"Заклепка вытяжная КОБАЛЬТ Al/St RAL 6005 темно-зеленый 4,8х12 50шт",18888601,Инструменты и крепёж,170.09 ₽,161.59 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х16 100шт,12268501,Инструменты и крепёж,165.00 ₽,156.75 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х14 100шт,12268401,Инструменты и крепёж,151.00 ₽,143.45 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х10 100шт,12268201,Инструменты и крепёж,128.00 ₽,121.60 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х6 100шт,12268001,Инструменты и крепёж,125.00 ₽,118.75 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St RAL 6005 тёмно-зелёный 3,2х8 100шт",13858501,Инструменты и крепёж,165.00 ₽,156.75 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 3,2х12 100шт",12267901,Инструменты и крепёж,125.00 ₽,118.75 ₽
Заклепка вытяжная КОБАЛЬТ Al/St RAL 3005 красное вино 4х10 50шт,18888301,Инструменты и крепёж,121.45 ₽,115.38 ₽
Заклепка вытяжная КОБАЛЬТ Al/St RAL 5005 насыщенно-синий 4х10 50шт,18888401,Инструменты и крепёж,121.45 ₽,115.38 ₽
Заклепка вытяжная КОБАЛЬТ Al/St RAL 8017 темно-коричневый 4х10 50шт,18888201,Инструменты и крепёж,121.45 ₽,115.38 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х12 100шт,12268301,Инструменты и крепёж,138.00 ₽,131.10 ₽
Заклепка вытяжная КОБАЛЬТ Al/St RAL 6005 темно-зеленый 4х10 50шт,18888101,Инструменты и крепёж,121.45 ₽,115.38 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 3,2х10 100шт",12267801,Инструменты и крепёж,97.00 ₽,92.15 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х8 100шт,12268101,Инструменты и крепёж,118.00 ₽,112.10 ₽
Заклепка резьбовая СТРОЙБАТ М6 5шт,22419501,Инструменты и крепёж,96.00 ₽,91.20 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 3,2х6 100шт",12267501,Инструменты и крепёж,97.00 ₽,92.15 ₽
Заклепка вытяжная КОБАЛЬТ Al/St RAL 9003 белый сигнальный 4х10 50шт,18888001,Инструменты и крепёж,121.45 ₽,115.38 ₽
Заклепка резьбовая СТРОЙБАТ М8 5шт,22419601,Инструменты и крепёж,92.00 ₽,87.40 ₽
Заклепка резьбовая СТРОЙБАТ М5 10шт,22419401,Инструменты и крепёж,92.00 ₽,87.40 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х12 14шт",12202601,Инструменты и крепёж,39.00 ₽,37.05 ₽
Заклепка резьбовая СТРОЙБАТ М4 10шт,22419301,Инструменты и крепёж,87.00 ₽,82.65 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х14 12шт",12202701,Инструменты и крепёж,36.00 ₽,34.20 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х16 16шт,12202301,Инструменты и крепёж,36.00 ₽,34.20 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х10 14шт",12202501,Инструменты и крепёж,36.00 ₽,34.20 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х8 14шт",12202401,Инструменты и крепёж,36.00 ₽,34.20 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х6 24шт,12201801,Инструменты и крепёж,36.00 ₽,34.20 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х12 18шт,12202101,Инструменты и крепёж,34.00 ₽,32.30 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х10 20шт,12202001,Инструменты и крепёж,34.00 ₽,32.30 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х8 22шт,12201901,Инструменты и крепёж,34.00 ₽,32.30 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 3,2х12 22шт",12201701,Инструменты и крепёж,34.00 ₽,32.30 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 3,2х6 28шт",12267601,Инструменты и крепёж,34.00 ₽,32.30 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 3,2х8 27шт",12201501,Инструменты и крепёж,34.00 ₽,32.30 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х16 10шт",12202801,Инструменты и крепёж,32.00 ₽,30.40 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х18 9шт",12202901,Инструменты и крепёж,32.00 ₽,30.40 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 3,2х10 25шт",12201601,Инструменты и крепёж,32.00 ₽,30.40 ₽
Заклепка вытяжная СТРОЙБАТ Al/St 4х14 16шт,12202201,Инструменты и крепёж,32.00 ₽,30.40 ₽
"Заклепка вытяжная СТРОЙБАТ Al/St 4,8х25 6шт",12203001,Инструменты и крепёж,27.00 ₽,25.65 ₽
Держатель для стекла РОССИЯ прозрачный,113577,Инструменты и крепёж,11.00 ₽,10.45 ₽
Зеркалодержатель ELEMENT Пластмассовый 11657,176346,Инструменты и крепёж,269.00 ₽,255.55 ₽
Зеркалодержатель ELEMENT 26468,5449801,Инструменты и крепёж,589.00 ₽,559.55 ₽
Зеркалодержатель ELEMENT 26470,5449901,Инструменты и крепёж,471.00 ₽,447.45 ₽
Зеркалодержатель ELEMENT Пластмассовый 11659,176344,Инструменты и крепёж,276.00 ₽,262.20 ₽
Зеркалодержатель ELEMENT Пластмассовый 18987,175881,Инструменты и крепёж,269.00 ₽,255.55 ₽
Зеркалодержатель ELEMENT Белый 36мм,176345,Инструменты и крепёж,374.00 ₽,355.30 ₽
Зеркалодержатель ELEMENT Пластмассовый 11658,176347,Инструменты и крепёж,269.00 ₽,255.55 ₽
Зеркалодержатель ELEMENT №1 хром,15525701,Инструменты и крепёж,226.00 ₽,214.70 ₽
Набор для крепления зеркала VALCOMP №5 золото,5800601,Инструменты и крепёж,205.00 ₽,194.75 ₽
Зеркалодержатель ELEMENT №2 золото,15525801,Инструменты и крепёж,183.00 ₽,173.85 ₽
"Комплект держателей зеркала ""101"" хром",5286001,Инструменты и крепёж,170.00 ₽,161.50 ₽
Крепление для зеркала ELEMENT Желтый цинк,157160,Инструменты и крепёж,175.00 ₽,166.25 ₽
"Комплект держателей УЛЬТРА Для зеркала ""101"" серебро",5285901,Инструменты и крепёж,170.00 ₽,161.50 ₽
"Комплект держателей УЛЬТРА Для зеркала ""101"" медь",5285801,Инструменты и крепёж,170.00 ₽,161.50 ₽
Набор для крепления зеркала VALCOMP №4 хром,5800501,Инструменты и крепёж,205.00 ₽,194.75 ₽
Крепление для зеркала ELEMENT Оцинкованный,157161,Инструменты и крепёж,157.00 ₽,149.15 ₽
Зеркалодержатель 101 золото,5285701,Инструменты и крепёж,170.00 ₽,161.50 ₽
Зеркалодержатель ELEMENT №3 хром матовый,15525901,Инструменты и крепёж,183.00 ₽,173.85 ₽
Зеркалодержатель с шурупом ELEMENT Белый,175888,Инструменты и крепёж,36.00 ₽,34.20 ₽
Зеркалодержатель с шурупом ELEMENT Темно-коричневый,175894,Инструменты и крепёж,36.00 ₽,34.20 ₽
Зеркалодержатель с шурупом ELEMENT Бежевый бук,175885,Инструменты и крепёж,36.00 ₽,34.20 ₽
Зеркалодержатель с шурупом ELEMENT Черный,175897,Инструменты и крепёж,36.00 ₽,34.20 ₽
Зеркалодержатель с шурупом ELEMENT Серый,175891,Инструменты и крепёж,36.00 ₽,34.20 ₽
Зеркалодержатель ELEMENT Прямой белый,15519901,Инструменты и крепёж,33.00 ₽,31.35 ₽
Держатель  УЛЬТРА Для стекла коричневый 4шт,113575,Инструменты и крепёж,12.00 ₽,11.40 ₽
Держатель УЛЬТРА Для стекла бежевый 4шт,113574,Инструменты и крепёж,12.00 ₽,11.40 ₽
Шайба СТРОЙБАТ DIN 125 M14 5шт,19937401,Инструменты и крепёж,26.00 ₽,24.70 ₽
Гайка СТРОЙБАТ DIN 934 M8 10шт,19919801,Инструменты и крепёж,26.00 ₽,23.40 ₽
Болт СТРОЙБАТ DIN 933 14x50 2шт,21183301,Инструменты и крепёж,64.00 ₽,60.80 ₽
Гайка ELEMENT DIN 1624 М10 4шт,8414701,Инструменты и крепёж,76.00 ₽,72.20 ₽
Шайба СТРОЙБАТ DIN 6798A M10 6шт,10870001,Инструменты и крепёж,46.00 ₽,43.70 ₽
Винт-петля ЕВРОПАРТНЕР 6х40х10 2шт,16325301,Инструменты и крепёж,45.37 ₽,43.10 ₽
Болт СТРОЙБАТ DIN 603 6х60 6шт,8413401,Инструменты и крепёж,98.00 ₽,93.10 ₽
Гайка СТРОЙБАТ DIN 934 M6 20шт,20515801,Инструменты и крепёж,135.00 ₽,128.25 ₽
Винт СТРОЙБАТ DIN 7985 4х8 15шт,173610,Инструменты и крепёж,130.00 ₽,123.50 ₽
Болт СТРОЙБАТ DIN 603 6х50 8шт,8413301,Инструменты и крепёж,98.00 ₽,93.10 ₽
Шайба СТРОЙБАТ DIN 9021 M20 1кг,12513701,Инструменты и крепёж,519.00 ₽,493.05 ₽
Шайба СТРОЙБАТ DIN 127B М14 1кг,12514601,Инструменты и крепёж,519.00 ₽,493.05 ₽
Болт СТРОЙБАТ DIN 933 5х70 1кг,12525301,Инструменты и крепёж,519.00 ₽,493.05 ₽
Винт СТРОЙБАТ DIN 965 3х10 1кг,12508201,Инструменты и крепёж,519.00 ₽,493.05 ₽
Болт СТРОЙБАТ DIN 933 6х30 1кг,12525801,Инструменты и крепёж,519.00 ₽,493.05 ₽
Болт СТРОЙБАТ DIN 933 12х40 1кг,12506101,Инструменты и крепёж,529.00 ₽,502.55 ₽
Гайка СТРОЙБАТ DIN 934 M14 1кг,12510101,Инструменты и крепёж,577.00 ₽,548.15 ₽
Гайка СТРОЙБАТ DIN 934 M24 1кг,12510601,Инструменты и крепёж,578.00 ₽,549.10 ₽
Гайка СТРОЙБАТ DIN 934 M5 1кг,12509601,Инструменты и крепёж,577.00 ₽,548.15 ₽
