Категория,Артикул,Наименование,Цена,Цена по карте / Акция
/Строительные материалы/Строительные смеси и грунты/Цемент,тов-158989,"Цемент ЦЕМ I 42,5Н, М-500, Д0, 50 кг",406,386
/Строительные материалы/Строительные смеси и грунты/Цемент,тов-182312,"Цемент ЦЕМ II/A-Ш 32,5Б, М-400, Д20, 25 кг",174,
/Строительные материалы/Строительные смеси и грунты/Цемент,тов-187413,"Цемент ЦЕМ I, 32,5Б, М-400, Д0, 50 кг",362,344
/Строительные материалы/Строительные смеси и грунты/Цемент,тов-205083,"Цемент ЦЕМ II/А-П 32,5Н (М-400) (50 кг)",431,410
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-007536,"Клей монтажный Knauf Perlfix, 30 кг",490,466
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-113615,"Цемент монтажный Ceresit СХ 15, 25 кг",1345,1278
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-150895,"Смесь сухая кладочная М-75, 25 кг",192,182
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-144208,"Цемент монтажный Ceresit СХ 5 ВД, 2 кг",392,372
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-163752,"Клей монтажный гипсовый для ПГП и ГКЛ Gerkules GM-175, 25 кг",320,
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-004727,"Клей гипсовый для монтажа ПГП и ГКЛ Волма Монтаж, 30 кг",377,358
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-119858,"Клей гипсовый для монтажа ПГП и ГКЛ Волма Монтаж Мороз, 30 кг",387,368
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-124807,"Цемент монтажный Ceresit СХ 5 ВД, 25 кг",2699,2564
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-166742,"Клей для газобетона, 25 кг",187,
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-160169,"Клей для пенопол., минваты и армир. слоя Bergauf Изофикс, зимний, 25 кг",649,
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-191073,"Клей для сибита Gerkules GM-15, 25 кг",199,189
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-191074,"Клей для сибита Gerkules GM-15Z, зимний, 25 кг",218,207
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-199615,Клей для газобетона Зимний (25 кг),214,203
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-191083,"Ремонтный состав Gerkules GS-22 быстротвердеющий, 5 кг",99,94
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-200241,"Клей монтажный гипсовый для ПГП и ГКЛ Gerkules GM-175Z, Зимний, 25 кг",377,358
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144805,"Смесь кладочная глино-шамотная Терракот, 20 кг",401,381
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-138534,"Огнеупорная смесь штукатурно-кладочная, 25 кг",275,261
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144806,"Смесь кладочная печная глино-шамотная Терракот, 5 кг",133,126
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144799,"Клей для печной плитки жаростойкий Терракот, 25 кг",622,591
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144801,"Штукатурка жаростойкая глино-шамотная Терракот, 25 кг",555,527
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144802,"Штукатурка жаростойкая глино-шамотная Терракот, 5 кг",157,149
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-150821,"Затирка жаростойкая Терракот широкошовная, белая, 5 кг",402,382
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144800,"Клей для печной плитки жаростойкий Терракот, 5 кг",175,166
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-168089,"Мастика жаростойкая клеящая ТЕРРАКОТ, 5 кг",312,296
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-168087,"Мастика жаростойкая клеящая ТЕРРАКОТ, 1,5 кг",108,103
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-168088,"Мастика жаростойкая клеящая ТЕРРАКОТ, 2,5 кг",163,155
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-168092,"Смесь ремонтная, жаростойкая Терракот, 5 кг",174,165
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-168090,"Кладочная смесь Терракот Мертель, огнеупорная, 20 кг",505,480
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-191067,"Кладочная смесь Gerkules GB-114, Огнеупорная, 20 кг",302,287
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-191068,"Кладочная смесь Gerkules GB-14 зимняя, 25 кг",243,231
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-191069,"Кладочная смесь Gerkules М-100 GB-14, 25 кг",188,179
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-191070,"Клей термостойкий для печей и каминов Gerkules GM- 215, 12 кг",144,137
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-191071,"Клей термостойкий для печей и каминов Gerkules GM- 215, 25 кг",285,271
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-191072,"Клей термостойкий для печей и каминов Gerkules GM- 215, 5 кг",96,91
/Строительные материалы/Строительные смеси и грунты/ЦПС,тов-145898,"Пескобетон М-300, 25 кг",225,
/Строительные материалы/Строительные смеси и грунты/ЦПС,тов-150894,"Пескобетон М-150, 25 кг",185,176
/Строительные материалы/Строительные смеси и грунты/ЦПС,тов-192880,"Пескобетон М-200, 25 кг",185,176
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-159440,"Пластификатор для цементных растворов и бетона, 10 л",561,533
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-156343,"Фиброволокно полипропиленовое, длина 12 мм, 1 кг",316,300
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-151243,"Противоморозная добавка для бетона Pufas до -10 °С, 10 л = 10,9 кг",527,501
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-126091,"Добавка противоморозная в бетон Bitumast, 10 л",916,871
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-167400,"Фиброволокно полипропиленовое, длина 18 мм, 10 кг",3106,2951
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-110470,"Фиброволокно полипропиленовое, длина 12 мм, 10 кг",3106,2951
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-166150,"Противоморозная добавка для бетона Pufas до -10С, 5 л = 5,45 кг",307,292
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-165914,"Противоморозная добавка для бетона Pufas до -15С, 10 л = 13,3 кг",966,918
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-166149,"Противоморозная добавка для бетона Pufas до -15 °С, 5 л = 6,65 кг",534,508
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-169353,"Фиброволокно полипропиленовое, длина 18 мм, 1 кг",316,300
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-170944,"Фиброволокно полипропиленовое, длина 6 мм, 10 кг",3167,3009
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-170945,"Фиброволокно полипропиленовое, длина 6 мм, 1 кг",316,300
/Строительные материалы/Строительные смеси и грунты/Добавки в растворы,тов-179619,Противоморозная добавка для цементных растворов до -10 °С (5 л),235,223
"/Строительные материалы/Строительные смеси и грунты/Гипс, алебастр",тов-156639,"Гипс высокопрочный ГВВС-16, 40 кг",651,619
"/Строительные материалы/Строительные смеси и грунты/Гипс, алебастр",тов-051008,"Алебастр, 2 кг",51,48
"/Строительные материалы/Строительные смеси и грунты/Гипс, алебастр",тов-120103,"Гипс строительный, 35 кг",292,277
"/Строительные материалы/Строительные смеси и грунты/Гипс, алебастр",тов-095375,"Гипс строительный, 3 кг",28,27
/Строительные материалы/Строительные смеси и грунты/Песок,тов-059399,"Песок строительный, 50 кг",84,80
"/Строительные материалы/Строительные смеси и грунты/Известь, мел, глина",тов-118848,"Мел, 3 кг",41,39
"/Строительные материалы/Строительные смеси и грунты/Известь, мел, глина",тов-110483,"Известь строительная негашеная, 3 кг",111,106
"/Строительные материалы/Строительные смеси и грунты/Известь, мел, глина",тов-080590,"Мел МТД-2, 30 кг",273,259
"/Строительные материалы/Строительные смеси и грунты/Известь, мел, глина",тов-051011,"Известковая паста, 3 кг",88,84
"/Строительные материалы/Строительные смеси и грунты/Известь, мел, глина",тов-110481,"Известь строительная негашеная, 15 кг",355,338
"/Строительные материалы/Строительные смеси и грунты/Известь, мел, глина",тов-157950,"Известковая паста, 15 кг",225,214
"/Строительные материалы/Строительные смеси и грунты/Керамзит, щебень",тов-128004,"Щебень, 5-20 мм, 50 кг",170,162
"/Строительные материалы/Строительные смеси и грунты/Керамзит, щебень",тов-079751,"Керамзит, фракция 5-10 мм, 0,05 м3",234,222
"/Строительные материалы/Строительные смеси и грунты/Керамзит, щебень",тов-058173,"Керамзит, фракция 10-20 мм, 0,05 м3",205,195
"/Строительные материалы/Строительные смеси и грунты/Керамзит, щебень",тов-103932,"Керамзит 0-5 мм, 0,05м3",237,225
"/Строительные материалы/Строительные смеси и грунты/Керамзит, щебень",тов-164178,"Засыпка сухая керамзитовая для пола Knauf, 40 л",358,340
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-137668,"Смесь штукатурно-клеевая для минераловатных плит Ceresit СТ 190, зимняя, 25 кг",724,688
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-114458,"Клей для минераловатных плит Ceresit СТ 180, 25 кг",595,567
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-137670,"Клей полиуретановый Ceresit СT 84, 850 мл",736,699
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-007574,"Штукатурно-клеевая смесь Knauf Sevener, 25 кг",499,
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-114457,"Смесь штукатурно-клеевая для минераловатных плит Ceresit СТ 190, 25 кг",724,688
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-137669,"Смесь штукатурно-клеевая для плит из пенополистирола Ceresit CT 85, зимняя, 25 кг",724,688
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-097664,"Армировочно-клеевая смесь Weber therm S100, для монтажа теплоизол. и штукатур. слоя, 25 кг",906,861
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-158635,"Штукатурно-клеевая смесь Weber therm А100 для монтажа пенопол. и минваты, 25 кг",621,654
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-126829,"Армир.-клеевая смесь Weber therm S100 для пенопол. и мин.ваты, зимний, 25 кг",1021,970
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-111142,"Смесь штукатурно-клеевая для плит из пенополистирола Ceresit CT 85, 25 кг",724,688
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-104503,"Клей для плит из пенополистирола Ceresit CT 83, 25 кг",623,592
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-150530,"Штукатурно-клеевая смесь для фасадов Ceresit Thermo Universal, 25 кг",632,600
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-161110,"Клей для пенопол., минваты и армирующего слоя Bergauf Изофикс, 25 кг",619,
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-181771,"Клей для наружной теплоизоляции Gerkules GM-155, 25 кг",418,397
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-187285,"Смесь клеевая армирующая Gerkules GM-185, 25 кг",471,447
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-198288,"Смесь клеевая армирующая Gerkules GM-185Z, зимний, 25 кг",471,447
/Строительные материалы/Строительные смеси и грунты/Клей для утепления фасадов,тов-205134,"Смесь для крепления мин. ваты и пенопол. Ceresit thermo universal, зима, 25 кг",632,600
/Строительные материалы/Общестроительные материалы/Металлопрокат композитный,тов-149903,"Арматура композитная, 10,0 мм, бухта 50 м",1223,1165
/Строительные материалы/Общестроительные материалы/Металлопрокат композитный,тов-149902,"Арматура композитная, 8,0 мм, бухта 50 м",816,777
/Строительные материалы/Общестроительные материалы/Металлопрокат композитный,тов-149901,"Арматура композитная, 6,0 мм, бухта 50 м",551,525
/Строительные материалы/Общестроительные материалы/Металлопрокат композитный,тов-170778,"Гибкая стеклопластиковая связь АКС 300 мм, d=6 мм, 50 шт.",245,232
/Строительные материалы/Общестроительные материалы/Металлопрокат композитный,тов-170779,"Гибкая стеклопластиковая связь АКС 400 мм, d=6 мм, 50 шт.",365,347
/Строительные материалы/Общестроительные материалы/Металлопрокат композитный,тов-170780,"Гибкая стеклопластиковая связь АКС 500 мм, d=6 мм, 50 шт.",452,430
/Строительные материалы/Общестроительные материалы/Металлопрокат композитный,тов-179520,"Арматура композитная 12,0 мм, бухта 50 м",2044,1947
/Строительные материалы/Общестроительные материалы/Ж/б изделия,тов-114347,Люк полимерно-песчаный легкий зеленый,1050,1013
/Строительные материалы/Общестроительные материалы/Ж/б изделия,тов-119111,Люк полимерно-песчаный легкий красно-коричневый,1050,1013
/Строительные материалы/Общестроительные материалы/Ж/б изделия,тов-114345,Люк полимерно-песчаный легкий черный,1050,1013
/Строительные материалы/Общестроительные материалы/Ж/б изделия,тов-094804,Люк чугунный тяжелый К 850х655х105 мм,10948,10557
/Строительные материалы/Общестроительные материалы/Ж/б изделия,тов-094803,Люк чугунный легкий К 735х615х50 мм,6531,6297
/Строительные материалы/Общестроительные материалы/Ж/б изделия,тов-095050,"Труба асбестоцементная d=100 мм (3,95 м)",740,705
/Строительные материалы/Общестроительные материалы/Ж/б изделия,тов-095049,"Труба асбестоцементная d=150 мм (3,95 м)",1267,1207
/Строительные материалы/Общестроительные материалы/Ж/б изделия,тов-094805,Люк чугунный дождеприемный тяжелый ДК 840х600/775х100 мм,12836,12378
/Строительные материалы/Общестроительные материалы/Комплектующие для опалубки,тов-136051,"Фиксатор арматуры ФЗ, слой бетона 25 мм, армат. 5-16 мм (500 шт)",700,667
/Строительные материалы/Общестроительные материалы/Комплектующие для опалубки,тов-151057,"Фиксатор арматуры ФУ, слой бетона 20-25 мм, армат. 5-20 мм (500 шт)",794,765
/Строительные материалы/Общестроительные материалы/Комплектующие для опалубки,тов-151056,"Фиксатор арматуры ФС, слой бетона 40-45 мм, армат. 5-20 мм (250 шт)",1061,1010
/Строительные материалы/Общестроительные материалы/Комплектующие для опалубки,тов-151060,"Трубка защитная стяжного болта, для опалубки, d=22 мм, L=1,5 м",29,28
/Строительные материалы/Общестроительные материалы/Комплектующие для опалубки,тов-151059,"Фиксатор трубки защитной ФК-22, для опалубки (500 шт)",568,541
/Строительные материалы/Общестроительные материалы/Комплектующие для опалубки,тов-168729,"Фиксатор арматуры СУ, слой бетона 25-50 мм, армат. 5-28 мм (500 шт)",1706,1624
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-114815,Профиль торцевой для поликарбоната 8х2100 мм б/цв.,72,69
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-114810,Профиль коньковый для поликарбоната 04-06х6000 мм б/цв.,741,706
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-114804,Поликарбонат сотовый прозрачный 8 мм 2100х6000 мм,4536,4320
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-114813,Профиль торцевой для поликарбоната 6х2100 мм б/цв.,55,52
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-141008,"Поликарбонат сотовый прозрачный 3,5 мм 2100х6000 мм",1826,1739
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-110993,Профиль соединительный неразъемный для поликарбоната 4х6000 мм б/цв.,324,309
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-114808,Профиль угловой для поликарбоната 4-6х6000 мм б/цв.,243,231
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-153874,Профиль соединительный неразъемный для поликарбоната 4-6х6000 мм б/цв.,336,320
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-114812,Профиль торцевой для поликарбоната 4х2100 мм б/цв.,47,45
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-114803,Поликарбонат сотовый прозрачный 6 мм 2100х6000 мм,4077,3883
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-162197,Профиль угловой для поликарбоната 8-10х6000 мм б/цв.,623,593
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-110990,Поликарбонат сотовый прозрачный 4 мм 2100х6000 мм,2536,2487
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-161664,Профиль коньковый для поликарбоната 8х6000 мм б/цв.,1028,979
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-153883,Профиль соединительный неразъемный для поликарбоната 8х600 0мм б/цв.,371,353
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-159546,Поликарбонат сотовый прозрачный 10 мм 2100х6000 мм,5726,5453
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-166168,Профиль соединительный неразъемный для поликарбоната 10х6000 мм б/цв.,460,438
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-166167,Профиль торцевой для поликарбоната 10х2100 мм б/цв.,91,87
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-168732,Поликарбонат сотовый бронза 8 мм 2100х6000 мм,4786,4558
/Строительные материалы/Общестроительные материалы/Поликарбонат,тов-168731,Поликарбонат сотовый бронза 6 мм 2100х6000 мм,4090,3895
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-117063,"Блок стеновой газобетонный Д500, 625х250х200 мм",174,166
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-140385,"Блок стеновой газобетонный Д600, 625х250х150 мм",124,118
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-113391,"Блок стеновой газобетонный Д500, 625х250х100 мм",82,78
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-035947,Плита гипсовая пазогребневая Волма 667х500х80 мм влагостойкая пустотелая,258,
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-035946,Плита гипсовая пазогребневая Волма 667х500х80 мм влагостойкая полнотелая,345,330
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-113387,"Блок стеновой газобетонный Д500, 625х250х300 мм",266,254
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-150135,"Блок стеновой газобетонный Д600, 625х250х200 мм",166,158
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-125800,"Блок стеновой газобетонный Д500, 625х250х400 мм",314,299
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-125798,"Блок стеновой газобетонный Д500, 625х250х150 мм",130,124
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-122652,"Блок стеновой газобетонный Д600, 625х250х100 мм",79,
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-153803,"Блок стеновой газобетонный Д600, 625х250х300 мм",247,235
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-035943,Плита гипсовая пазогребневая Волма 667х500х80 мм обыкновенная пустотелая,212,
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-035942,Плита гипсовая пазогребневая Волма 667х500х80 мм обыкновенная полнотелая,240,
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-149870,"Блок стеновой газобетонный Д600, 625х250х400 мм",330,314
/Строительные материалы/Строительство стен и перегородок/Газобетонные и стеновые блоки,тов-113389,"Блок стеновой газобетонный Д600, 600х250х150 мм",130,124
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-114785,"Кирпич шамотный прямой, огнеупорный, ШБ-8",78,75
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-140776,"Кирпич керамич. пустотелый лицевой одинарный, М-150, бежевый / слоновая кость",25,24
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-140777,"Кирпич керамич. пустотелый лицевой одинарный, М-150, желтый / сахара",22,21
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-140779,"Кирпич керамич. пустотелый лицевой одинарный, М-150, коричневый / шоколад",34,32
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-138641,"Кирпич керамический полнотелый рядовой одинарный, М-150",17,16
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-114784,"Кирпич шамотный прямой, огнеупорный, ШБ-5",68,
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-093230,"Кирпич силикатный полнотелый одинарный, М-150",17,16
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-100659,"Кирпич керамический пустотелый лицевой одинарный, М-150, красный",17,16
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-097983,"Кирпич силикатный полнотелый полуторный, М-150",20,19
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-165315,"Кирпич керамический пустотелый лицевой одинарный, М-125",17,16
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-196793,Кирпич керамический полнотелый рядовой одинарный М-100 Т,16,15
/Строительные материалы/Строительство стен и перегородок/Кирпич,тов-196794,Кирпич керамический полнотелый рядовой одинарный М-125 Т,17,16
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-079841,"Профиль маячковый 10 мм, 3 м",35,33
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-079842,"Профиль маячковый 6 мм, 3 м",30,29
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-118709,"Профиль цокольный алюминиевый 100 мм L=2,5 м",376,358
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-142482,"Профиль ПВХ примыкающий оконный с сеткой 6 мм (2,4 м)",110,105
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-143844,"Профиль цокольный алюминиевый 50 мм L=2,5 м",184,175
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-096589,Угол перфорированный из ПВХ под штукатурку (3 м),37,35
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-138491,Крепеж маячкового профиля (25 шт) пакетик,74,70
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-096594,"Угол ПВХ с сеткой 100х150 мм для фасадных работ (2,5 м)",73,70
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-163104,"Профиль маячковый 10 мм 3 м (0,4 мм)",47,45
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-014138,"Профиль маячковый 10 мм 3 м (0,3 мм)",42,40
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-014140,"Профиль маячковый 6 мм 3 м (0,3 мм)",35,33
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-142739,"Профиль ПВХ примыкающий оконный с сеткой 9 мм (2,4 м)",152,145
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-096591,Угол арочный перфорированный из ПВХ под штукатурку (3 м),38,36
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-116560,"Профиль-капельник ПВХ с сеткой L=2,5 м",217,207
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-163105,"Профиль маячковый 6 мм 3 м (0,4 мм)",32,30
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-138493,Крепеж маячкового профиля (100 шт),278,265
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-169572,"Профиль маячковый Knauf 6 мм 3 м (0,4 мм)",49,46
/Строительные материалы/Строительство стен и перегородок/Профили штукатурные,тов-169573,"Профиль маячковый Knauf 10 мм 3 м (0,4 мм)",61,58
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-003437,"Брусок сухой строганый, сорт АВ  20х40х3000 мм",80,76
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-114063,"Брусок сухой строганый, сорт АВ  30х40х3000 мм",93,89
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-114290,"Брусок сухой строганый, сорт АВ  50х50х3000 мм",214,204
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-060221,"Брусок сухой строганый, сорт АВ 45х45х2000 мм",103,98
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-060199,"Брусок сухой строганый, сорт АВ  30х40х2000 мм",67,64
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-116333,"Брусок сухой строганый, сорт АВ  45х45х3000 мм",205,195
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-123279,"Брусок сухой строганый, сорт АВ  18х45х3000 мм",75,71
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-087279,"Брусок сухой строганый, сорт АВ  50х100х3000 мм",441,420
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-157350,"Брусок сухой строганый, сорт АВ  45х60х3000 мм",250,238
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-091408,"Брусок сухой строганый, сорт АВ  20х40х2000 мм",46,42
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-080672,"Брусок 1-3 сорт деловой, 50х50х3000 мм е/в. хв/п.",127,121
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-114289,"Брусок сухой строганый, сорт АВ 18-20х30х3000 мм",46,-11
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-122624,"Брусок сухой строганый, сорт АВ 40х50х2000 мм",112,107
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-103516,"Брусок сухой строганый, сорт АВ 40х50х3000 мм",160,153
"/Строительные материалы/Изделия из древесины/Брус, рейка",тов-162052,"Брусок сухой строганый, сорт АВ 40х60х3000 мм",200,190
/Строительные материалы/Изделия из древесины/Вагонка,тов-087396,"Вагонка Евро хвоя, сорт В 12,5х88(96)x2700 мм (10 шт)",1026,977
